cpf,nome,data_nascimento,cidade,estado,nivel_conta,email
024.793.158-60,Olívia Sales,1981-04-11,Freitas,SP,Ouro,da-cruzlevi@example.com
150.729.634-70,Liam Novais,1994-05-14,Macedo do Oeste,AC,Bronze,ufogaca@example.org
407.539.261-99,Francisco Nogueira,1964-05-13,Siqueira dos Dourados,GO,Bronze,davi-miguelmoura@example.org
748.923.051-97,Srta. Allana Pinto,1999-01-05,Vasconcelos de Goiás,MT,Bronze,ribeirostephany@example.com
387.641.259-55,Luna Camargo,1947-04-04,Aparecida,TO,Prata,luiz-henriqueandrade@example.org
173.064.829-04,Jade Aragão,1965-08-20,Pereira,RR,Bronze,albuquerqueoliver@example.net
719.650.238-86,Sr. João Felipe Moura,1943-06-22,da Rosa,AP,Prata,rafaelabrito@example.org
386.174.520-80,Maria Vitória Souza,1947-11-20,Rocha dos Dourados,RR,Prata,kcaldeira@example.org
865.714.392-55,Lunna Freitas,1968-10-06,Silveira Alegre,RN,Bronze,zoecunha@example.com
845.367.029-38,Antony Moreira,1949-11-24,Abreu da Mata,ES,Prata,ana-vitoriaalmeida@example.net
482.063.759-29,Luiz Otávio Pacheco,1957-09-16,da Cunha,SE,Bronze,francisco96@example.net
315.698.720-40,Letícia Andrade,1990-06-08,Barros do Norte,SP,Prata,cecilia66@example.org
306.824.719-50,Sr. Eduardo Aragão,1986-07-19,Machado Verde,PE,Ouro,camaraluana@example.com
628.703.591-95,Bryan Guerra,1974-11-08,Vasconcelos Grande,SP,Ouro,maria-luisanovais@example.org
763.485.102-71,Pedro Duarte,1987-04-21,Camargo,RO,Bronze,xlima@example.com
358.470.261-53,Melina Pinto,1950-08-18,Aparecida de da Conceição,DF,Prata,leonardo11@example.net
032.679.584-74,Rael Melo,1942-04-03,Costela da Prata,DF,Bronze,zoemoreira@example.com
872.560.394-92,Enzo Gabriel Araújo,1960-01-13,Vieira,RR,Bronze,caue70@example.org
645.907.231-07,Mateus Moraes,2007-03-01,Dias,PR,Ouro,cirinomiguel@example.net
780.914.253-41,Eduarda Almeida,1964-04-21,Fogaça da Mata,ES,Prata,davi46@example.org
843.127.609-69,Heloísa Leão,1957-01-23,Lima,MA,Bronze,manuela82@example.org
283.619.570-30,Eduarda Dias,1945-04-27,Cirino,MT,Prata,bentoteixeira@example.com
694.352.107-16,Francisco Alves,1992-08-03,Pereira Verde,RN,Prata,ravida-conceicao@example.net
051.837.624-90,Mathias Mendonça,1972-12-13,Castro,DF,Prata,beniciojesus@example.org
463.581.902-70,Rebeca Sales,1962-10-25,da Cruz de Lima,MG,Bronze,pereiragabrielly@example.net
560.473.892-10,Zoe Gonçalves,2007-08-28,Novais,MG,Bronze,correiaana@example.com
648.319.270-31,Dra. Cecília Martins,1997-03-07,Borges de Silveira,PE,Ouro,cirinozoe@example.org
695.301.827-59,Ayla da Cunha,1962-10-04,Silva,SC,Ouro,borgesian@example.net
751.483.962-37,Enzo Gabriel Farias,1979-03-10,Castro,BA,Prata,caualeao@example.com
479.510.682-76,Isis Albuquerque,1971-12-01,Monteiro de Nogueira,SE,Ouro,pereiramarina@example.org
378.960.451-84,Giovanna Aragão,1953-04-14,Araújo,RS,Prata,brayan20@example.net
945.067.382-92,Larissa Pimenta,1985-09-06,Marques,SC,Bronze,brayan14@example.com
561.834.072-08,Davi Sales,1999-03-10,Farias do Galho,PA,Bronze,ottopimenta@example.org
189.354.276-91,Vinicius Oliveira,2008-06-01,Cardoso Verde,PR,Bronze,zmonteiro@example.org
934.105.768-00,Srta. Maria Vitória Jesus,1943-10-20,Ferreira da Prata,SE,Ouro,antonioporto@example.org
491.268.503-89,Lívia Fernandes,1967-08-28,Cavalcanti,DF,Ouro,camila77@example.org
279.534.816-00,Srta. Stephany da Rosa,1979-02-24,Novais da Prata,AC,Ouro,biancavieira@example.com
124.608.375-26,Maria Julia Cirino,1981-03-17,Viana,SP,Ouro,ana-vitoria04@example.com
173.286.945-64,Daniel Freitas,1994-02-13,Vasconcelos,DF,Bronze,macedonatalia@example.org
782.193.560-30,Valentim Rocha,2008-04-05,Costela,SC,Bronze,marqueshellena@example.net
810.274.596-76,Cauã Moreira,1992-11-04,Almeida Verde,SP,Bronze,otto53@example.org
495.630.287-83,Danilo Albuquerque,2005-12-01,Costela,PI,Ouro,isis54@example.org
432.079.581-41,Davi Lucca Alves,1972-09-27,Caldeira,MG,Ouro,borgesleticia@example.com
275.961.043-80,Ravi Lucca Brito,1971-09-16,Rodrigues dos Dourados,PR,Prata,pietrocasa-grande@example.net
456.182.973-37,Benício Melo,1948-05-21,Mendes dos Dourados,CE,Prata,cecilia99@example.org
816.750.234-17,Vitor Martins,1967-12-25,da Costa de Goiás,PI,Bronze,maria-luisagomes@example.org
536.784.290-92,Breno Sousa,2004-01-19,Camargo de Pastor,RN,Ouro,jduarte@example.org
724.309.581-04,Dr. Bento Borges,1955-07-07,Pacheco,SP,Ouro,sajuan@example.net
274.385.609-29,Luiza da Rosa,1979-07-07,Lopes da Praia,AP,Ouro,pimentanina@example.com
240.987.561-02,João Miguel Alves,1956-09-17,Sampaio Verde,MG,Ouro,giovanna66@example.com
832.915.647-82,João Pedro Rios,1949-04-01,Albuquerque,AP,Ouro,casa-grandemariah@example.net
621.753.489-46,Emilly Marques,1975-05-16,Novaes dos Dourados,MG,Bronze,rael26@example.net
073.542.861-17,Arthur Miguel Nunes,1973-08-04,Camargo Verde,PR,Prata,casa-grandesara@example.com
781.460.935-66,Ágatha Pacheco,1961-12-21,Fernandes,PI,Bronze,melomaria@example.net
756.298.103-59,Dra. Joana Araújo,1983-07-13,Pacheco de Cavalcante,RJ,Ouro,ribeiroana@example.net
904.381.572-14,João Lucas da Mota,1999-01-31,Albuquerque do Campo,RN,Ouro,kevinribeiro@example.com
524.691.308-24,Sr. Diogo Peixoto,2004-04-05,Monteiro,SP,Ouro,yvargas@example.org
723.458.061-17,Benjamim Cavalcante,1972-04-13,Melo da Mata,PR,Ouro,gabriellyrodrigues@example.net
674.183.092-87,Luara Moura,1987-03-05,Brito,PI,Bronze,luana94@example.com
491.258.370-79,Dra. Evelyn Moreira,1963-09-01,Dias,PI,Ouro,rochaantony@example.org
061.493.257-25,Gael Andrade,1942-04-27,Araújo,RN,Bronze,joaquimsantos@example.org
126.574.908-67,Juan Martins,1985-08-26,Porto,PB,Ouro,leticia54@example.org
140.362.798-31,Pedro Lucas Azevedo,1974-03-02,Pimenta,MG,Ouro,marianecaldeira@example.org
863.450.721-17,Arthur Gabriel Barbosa,1945-07-01,Vasconcelos dos Dourados,AC,Bronze,pcassiano@example.net
096.217.348-78,Rebeca Mendes,1970-05-19,Siqueira de Minas,PI,Ouro,andregomes@example.net
715.296.304-52,Dr. Bruno Marques,1992-06-15,Ramos do Oeste,CE,Prata,gomesmateus@example.com
615.309.872-02,Apollo Silveira,2008-07-05,Mendonça,MG,Bronze,vieiravalentina@example.net
478.062.513-08,Bárbara Cunha,1995-08-18,Rocha de Nascimento,BA,Ouro,diegoandrade@example.net
270.348.195-05,Erick Pires,1944-02-08,Vieira do Campo,PB,Bronze,davi-lucascaldeira@example.org
731.698.245-46,Sr. Yago Carvalho,1962-08-04,Teixeira,AL,Bronze,brunaazevedo@example.org
426.158.730-08,Ana Cecília Carvalho,1947-07-05,Vasconcelos da Serra,AC,Bronze,abarros@example.org
214.356.809-60,Júlia Moreira,1971-05-11,da Costa da Serra,RN,Bronze,peixotoluiz-miguel@example.net
714.230.896-69,Aylla Pinto,1965-05-02,Martins,SP,Ouro,yuriaragao@example.org
127.395.064-06,Gustavo Henrique Lopes,1957-10-24,Pimenta dos Dourados,AL,Ouro,sousacaua@example.net
290.347.561-06,Lunna Leão,1954-03-25,da Conceição do Campo,MT,Bronze,gael-henriqueda-costa@example.net
639.108.457-20,Henrique Pimenta,1971-09-01,Gomes,MS,Prata,maria-ceciliasilveira@example.org
543.210.897-60,Ravi Lucca Marques,1969-03-02,Teixeira,MT,Prata,ana-carolinapereira@example.org
923.074.561-80,Lara Albuquerque,1990-05-20,Sousa de Goiás,ES,Ouro,luara93@example.net
206.873.519-95,Beatriz Machado,1974-05-30,Barros,PI,Prata,salesjoana@example.org
254.180.769-49,Raul Oliveira,1991-07-23,Marques,PB,Ouro,jadecirino@example.com
701.352.894-32,Vitor Hugo Oliveira,1994-10-08,Viana,RO,Bronze,pintobruna@example.net
085.963.217-21,Dr. Erick Ramos,1978-09-24,Novais,RR,Ouro,joao-guilhermefarias@example.org
817.549.632-00,Theodoro Rodrigues,1969-06-26,Aragão de Minas,MS,Bronze,marcela78@example.net
174.382.069-04,Bruno Gonçalves,2001-10-23,da Paz,AP,Ouro,cavalcanteyuri@example.org
279.614.058-01,Ágatha Cardoso,1972-12-14,Leão dos Dourados,SC,Bronze,da-rochamarcos-vinicius@example.org
035.842.716-90,Liz Nunes,1949-09-07,Cavalcante Paulista,ES,Bronze,sfreitas@example.org
254.317.896-19,Erick Santos,1987-11-09,Castro,ES,Prata,aparecidaanna-liz@example.net
274.915.068-01,Sr. Marcelo Machado,1977-06-11,Nascimento,MA,Prata,alvesjade@example.com
275.104.936-25,Lavínia Sá,2007-06-11,Nunes,SC,Bronze,sfernandes@example.org
702.548.961-11,Hellena Machado,1965-01-10,Duarte,AL,Prata,saracamara@example.com
301.498.567-84,Sr. Luiz Miguel Gonçalves,1950-10-10,Freitas das Flores,MS,Prata,da-pazcatarina@example.com
471.853.962-55,Otávio Siqueira,2001-09-15,Carvalho Verde,RN,Prata,casa-grandeoliver@example.com
785.043.691-10,Júlia Leão,1952-08-09,Santos de Nunes,SP,Prata,murilocirino@example.com
487.029.513-04,Apollo Vieira,1940-11-14,da Luz,MA,Bronze,pcampos@example.net
462.351.089-15,Ana Lívia Peixoto,1991-06-11,Pacheco do Amparo,RJ,Prata,oda-luz@example.net
715.496.083-39,Ana Laura Casa Grande,1962-06-17,Sales de Carvalho,MS,Bronze,caueda-mata@example.com
650.294.783-29,Emilly Teixeira,1947-02-20,Nogueira,MT,Ouro,ana-julia45@example.org
852.014.793-32,Manuela Castro,1947-09-04,Cassiano,PE,Prata,marcos-viniciusvieira@example.net
981.360.452-24,Marcela das Neves,1987-09-25,Carvalho dos Dourados,RN,Prata,luiz-felipe40@example.net
132.659.480-05,Davi Lucca Barros,1969-08-12,Barbosa,AC,Prata,bsa@example.org
310.654.789-84,Augusto Azevedo,1961-03-26,Sá,AM,Prata,pereiranoah@example.net
325.061.894-24,Sr. Theodoro Vasconcelos,1990-04-14,Montenegro,RJ,Prata,britoarthur@example.net
394.170.586-57,Sr. Pedro Lucas Rocha,2005-11-17,Cirino,TO,Bronze,gabrielly63@example.net
361.820.945-24,Maria Cecília Santos,1960-04-28,Barros,MT,Prata,ycamargo@example.com
749.183.260-13,Renan Rocha,1965-09-16,Albuquerque,RO,Bronze,grocha@example.com
781.093.426-04,Srta. Ana Luiza Fonseca,2007-01-25,Fernandes,DF,Bronze,ocampos@example.com
748.653.219-00,Sophia da Mota,1950-09-26,Caldeira de Campos,GO,Ouro,omonteiro@example.net
201.586.394-05,Mateus Pereira,1986-12-04,Cassiano da Mata,RN,Prata,teixeiraeduardo@example.net
879.123.456-55,Manuela Nogueira,1977-11-26,Teixeira,AL,Bronze,ycampos@example.com
567.309.128-12,Srta. Rebeca Lopes,1949-11-09,Silva das Flores,PR,Bronze,nunesmariane@example.net
897.341.052-05,Maria Flor Pimenta,1986-09-28,Vargas da Mata,MT,Prata,alvescaleb@example.org
590.682.371-95,Dr. Noah Ferreira,1944-07-19,da Cruz,ES,Prata,enzo-gabriel14@example.org
520.487.391-05,Sophie Leão,1958-11-06,Sampaio,PR,Bronze,diasgabriela@example.net
651.930.782-30,Maitê Cavalcante,1982-07-18,Fonseca das Pedras,DF,Bronze,yporto@example.org
834.206.957-56,Dra. Aylla Pastor,1963-08-18,Azevedo Verde,SE,Prata,nlima@example.com
148.357.209-97,Isis Pinto,1975-10-11,Rios de Teixeira,PI,Ouro,arthur-miguelpires@example.net
827.153.946-91,Ana Liz Moreira,1954-05-12,Martins Grande,ES,Prata,ana-claralopes@example.com
513.672.490-07,Isaac Guerra,1956-12-07,Cassiano,DF,Ouro,da-cruzana-luiza@example.com
786.350.149-01,Arthur da Luz,1994-06-11,Ribeiro da Prata,CE,Prata,silveiramaria-vitoria@example.org
015.429.386-51,Cecilia da Costa,1948-04-28,Moreira,RO,Bronze,maysa13@example.net
158.643.970-75,Cauê Cavalcanti,1955-04-11,Macedo das Pedras,GO,Prata,mendoncasophie@example.com
156.389.204-98,Maria Eduarda das Neves,1942-02-20,Sousa,RO,Bronze,salesrhavi@example.com
864.592.073-56,Maria Julia Albuquerque,2002-08-13,da Cunha da Mata,AP,Bronze,ana-ceciliacostela@example.org
756.902.814-76,Sra. Lívia Silva,1969-06-12,Castro,RR,Prata,natalia15@example.com
985.370.426-92,Melina Vieira,1984-05-01,Abreu,MG,Prata,ana-lauradias@example.net
192.846.357-64,Catarina da Luz,1952-07-05,da Paz do Oeste,AP,Prata,lfreitas@example.com
630.745.198-00,João Sampaio,1998-09-03,Aragão,MG,Prata,qpeixoto@example.org
152.408.397-60,Henry Gabriel Silva,1954-07-13,Viana,GO,Prata,maya62@example.com
394.561.807-00,Arthur da Rocha,2007-02-17,da Costa dos Dourados,ES,Bronze,maria-cecilia10@example.com
256.813.497-64,Calebe Novais,1944-09-14,Farias,ES,Prata,mfogaca@example.net
908.245.316-98,Maria Eduarda Cardoso,2006-08-01,Pacheco,CE,Ouro,lucca87@example.com
721.854.309-04,Levi Aparecida,2007-04-18,Monteiro,TO,Ouro,eloah64@example.com
945.312.607-16,Gabriel Cassiano,1944-06-02,Cirino,AL,Bronze,kda-luz@example.net
761.308.249-04,Sabrina Camargo,1998-04-07,Campos,MS,Bronze,costelaalice@example.org
284.756.190-02,Emilly Leão,2003-05-04,da Cruz,SP,Prata,grocha@example.com
041.328.976-13,Bruno Marques,1997-03-27,Marques de Pires,GO,Prata,fariascaio@example.net
975.864.102-67,Larissa Duarte,1995-01-08,Souza,AP,Bronze,zborges@example.com
236.071.489-96,Eduardo Campos,1961-01-08,Lopes de Sousa,SE,Ouro,joao51@example.com
837.965.241-09,Otávio Freitas,1982-06-24,Lopes,RS,Ouro,cborges@example.net
573.961.820-77,Ravi Lucca Lopes,1946-02-04,da Rosa de Cassiano,BA,Prata,theo86@example.com
901.846.375-20,Isis Fogaça,1958-01-18,Vargas,PE,Bronze,camargomaria-eduarda@example.org
260.739.451-16,Milena Pinto,1995-09-05,Fernandes da Serra,DF,Bronze,emanuelsouza@example.net
416.905.372-99,Rhavi Marques,1987-10-13,Ribeiro do Amparo,MA,Bronze,isabela41@example.org
203.861.574-80,Clara Rezende,1957-02-27,Pires da Prata,DF,Bronze,da-rosamaria-fernanda@example.org
760.915.342-70,Rael Pacheco,1957-03-20,da Rocha,RJ,Prata,varagao@example.org
168.734.209-13,Raquel Moraes,1980-12-04,da Conceição de Silva,AL,Ouro,limaana-vitoria@example.net
146.307.298-87,Enrico da Paz,1990-02-15,Melo,MS,Bronze,gda-conceicao@example.org
957.123.486-91,Elisa Pinto,1954-10-22,Sales de Minas,RO,Prata,lcardoso@example.org
271.635.904-07,Ana Julia Almeida,1965-02-13,Fogaça da Serra,CE,Prata,azevedobarbara@example.com
139.478.256-09,João Felipe Cassiano,1998-10-12,Santos,AL,Bronze,wmarques@example.org
190.478.536-01,João Vitor Santos,1970-10-01,Siqueira de Brito,BA,Prata,bruna21@example.org
760.132.459-16,João Felipe Freitas,1989-05-17,Fonseca de Goiás,BA,Prata,oviana@example.org
698.342.017-96,Valentim Azevedo,1946-06-23,Dias das Flores,SP,Bronze,luaraaraujo@example.com
029.564.813-98,Liz Silveira,1991-03-31,Ferreira do Sul,TO,Prata,sarah92@example.net
673.495.821-37,Maria Luiza Vasconcelos,1954-02-17,Barros do Norte,PI,Bronze,heloisa28@example.net
431.962.580-33,Arthur Vieira,1977-06-13,da Costa da Mata,SC,Ouro,hmontenegro@example.net
054.872.936-00,Letícia Oliveira,1990-11-06,Marques,MT,Ouro,sophiepeixoto@example.org
548.967.123-82,Isadora Caldeira,1963-01-06,Vasconcelos,MS,Bronze,jbrito@example.net
691.083.745-20,Ana Vitória Freitas,1986-10-06,Pastor da Prata,PE,Prata,lda-luz@example.com
678.531.420-80,Natália Cardoso,2006-07-31,Sales,DF,Bronze,cmelo@example.net
285.043.671-26,Lavínia Aparecida,1976-04-12,Campos,MS,Ouro,evelyn44@example.com
028.643.917-40,Fernando Sousa,1973-12-20,Campos,PI,Prata,davi-luiz06@example.com
947.235.108-50,Melissa Cassiano,1999-08-30,Borges das Pedras,MG,Bronze,isabelafernandes@example.net
074.591.628-76,Camila Ramos,1978-10-08,Correia,RN,Bronze,nunesrebeca@example.org
780.954.163-39,Joaquim Santos,1997-10-17,Barros de Nascimento,RN,Ouro,isadora90@example.com
056.139.278-12,Danilo Brito,1977-07-28,da Paz,BA,Prata,thomasvargas@example.org
246.510.983-98,Srta. Letícia Gomes,1947-06-05,Casa Grande das Pedras,MT,Ouro,fernanda10@example.org
397.468.015-20,Dr. Yuri Jesus,1945-02-27,Alves de Jesus,RS,Prata,arthur-miguelda-mata@example.net
913.648.275-73,Antonella Porto,1974-10-05,Viana,BA,Ouro,valentina23@example.net
687.093.245-00,Bento Mendes,1959-04-21,Rodrigues das Flores,MS,Prata,ninada-paz@example.org
281.903.547-79,Giovanna Pimenta,1975-01-22,Rodrigues Alegre,RS,Ouro,marcela43@example.net
593.742.086-10,Agatha Pereira,1973-02-18,Albuquerque,RO,Ouro,julianovais@example.net
761.850.429-67,Camila Fogaça,2006-11-08,Peixoto da Praia,MG,Prata,antonycampos@example.com
537.016.289-12,Caleb Pimenta,1983-04-03,Silva de Goiás,ES,Prata,cfonseca@example.com
730.158.962-02,Yuri Correia,1985-08-10,Azevedo,RJ,Prata,davi-luccacardoso@example.com
934.150.286-15,Paulo Ramos,1986-07-05,Duarte,PA,Ouro,hda-mota@example.net
879.240.153-88,Yasmin Machado,1962-03-24,Gonçalves,DF,Prata,enrico90@example.net
361.785.240-80,Aylla Alves,1973-05-14,Alves Verde,SE,Ouro,theodoro31@example.com
350.624.179-61,Pietro Pacheco,1949-03-14,Araújo,AL,Prata,sdias@example.org
207.894.365-74,Ana Laura Novais,1944-04-04,Garcia das Flores,AM,Prata,mda-conceicao@example.net
907.365.814-48,Stella Farias,1980-09-15,Caldeira,AM,Bronze,peixotodavi-luiz@example.net
324.895.706-92,Augusto Araújo,1949-05-24,Pacheco das Pedras,PE,Bronze,ana-livia98@example.org
274.895.603-65,Isaac Montenegro,1996-06-13,Lima,MS,Prata,muriloporto@example.org
153.876.249-82,Letícia Leão,1963-01-25,Caldeira,PB,Ouro,monteiropedro-lucas@example.org
397.415.826-09,Sra. Gabrielly Guerra,1953-03-30,Fonseca,AC,Prata,fogacabento@example.net
124.397.806-69,Gael Henrique da Paz,1952-07-22,da Luz,SC,Prata,camilanovaes@example.org
230.197.458-88,Brenda Fernandes,2004-05-29,das Neves,PB,Bronze,esterfreitas@example.net
286.507.149-94,Vitor Garcia,1987-12-16,Dias das Pedras,RS,Bronze,calebteixeira@example.net
934.612.508-05,Thomas Pacheco,2000-12-26,Costela de Siqueira,AP,Bronze,qvieira@example.net
126.754.893-28,Lorenzo Silva,1966-02-23,Silva de Monteiro,PR,Bronze,isadora90@example.org
397.618.542-64,Eduarda Freitas,1958-01-10,Carvalho,SP,Bronze,da-rochalivia@example.net
530.849.216-60,Marina Jesus,1965-09-18,Dias de da Mata,MG,Prata,cavalcantiluisa@example.org
415.029.683-98,Dante Barbosa,1965-03-21,Nogueira,DF,Bronze,matteo54@example.com
432.659.701-16,Luiz Felipe Viana,2008-07-16,Guerra Verde,SP,Bronze,meloolivia@example.org
638.591.704-57,Sra. Manuela Vieira,1946-07-20,Correia das Pedras,SP,Prata,ccostela@example.com
805.146.239-42,Maria Fernandes,1956-01-19,Lima das Flores,SP,Prata,aylla90@example.net
028.745.319-79,Ana Luiza Nascimento,1967-01-01,Melo,AM,Bronze,marcela41@example.org
182.054.367-62,Bernardo Gomes,1960-01-08,da Conceição,MA,Prata,marquesdanilo@example.com
802.735.196-03,Mariah Mendes,1991-04-11,Gomes,DF,Prata,noahdas-neves@example.com
724.916.350-70,Diego Machado,1945-01-21,Pereira de Goiás,PE,Prata,mariane77@example.net
014.532.789-23,Isadora Cavalcanti,2001-12-12,Marques das Flores,RO,Bronze,gabrielgoncalves@example.net
032.754.689-10,Dra. Helena Monteiro,1968-09-10,Freitas,AP,Prata,montenegroaylla@example.com
724.190.358-79,Nicole Garcia,1964-02-03,Correia das Flores,AL,Ouro,da-cunhaian@example.net
257.360.498-56,Sra. Cecilia Melo,1996-07-14,Castro da Serra,TO,Prata,pereiraguilherme@example.org
416.805.297-49,Sr. Henrique Silva,1943-01-19,Macedo,RR,Prata,portorebeca@example.net
164.307.589-66,Josué Freitas,2002-07-19,Costa,AP,Ouro,leaobenjamin@example.org
531.706.498-84,Bianca Duarte,1962-08-31,Pinto,DF,Ouro,hlima@example.org
315.280.967-03,Mathias Cunha,1971-12-04,Azevedo,RO,Prata,emilly01@example.org
647.058.139-01,Lunna Pires,1988-02-03,Rocha Grande,MT,Bronze,anna-lizrios@example.com
150.463.827-17,Alice da Conceição,1942-02-24,das Neves,ES,Prata,psa@example.net
102.736.985-59,Arthur Miguel da Costa,2003-07-18,Sousa de Farias,BA,Ouro,anna-liz08@example.com
403.652.987-00,Ana Júlia Rios,2007-12-19,Rodrigues,RR,Ouro,giovannamoreira@example.com
270.836.149-03,Davi Lucas Borges,1952-07-10,da Costa,PE,Ouro,limamaria-helena@example.com
238.714.569-00,Melissa Porto,1954-05-30,Viana do Amparo,AP,Prata,isabella62@example.com
768.913.052-68,Kaique Peixoto,1977-04-06,Novaes,SC,Prata,theogarcia@example.com
479.385.601-20,Ravy Costa,1951-03-27,Abreu,AC,Prata,mariane66@example.com
567.294.013-70,Matheus Nunes,1951-10-03,Teixeira,PA,Prata,cecilia87@example.net
506.391.478-01,Sr. Diogo da Luz,1981-11-27,Rodrigues de Casa Grande,GO,Bronze,lorenzoalbuquerque@example.org
168.540.937-75,Isis Sales,1961-04-09,Pastor da Mata,SC,Bronze,usa@example.org
152.789.364-28,Enzo Gabriel Mendonça,1940-10-24,Azevedo,SP,Prata,amoura@example.net
462.178.903-13,Theodoro Camargo,1971-05-17,Cirino,DF,Bronze,souzaluiz-otavio@example.org
467.590.183-20,Marcos Vinicius Campos,1959-07-16,Fernandes,AC,Bronze,maria-lizmendonca@example.net
108.274.536-71,Alana Garcia,1981-09-27,Mendonça do Amparo,SP,Prata,liz55@example.net
593.287.460-00,Dr. Carlos Eduardo Abreu,1971-10-19,Silveira Grande,AC,Prata,mouraalana@example.net
357.489.620-47,Lorenzo Almeida,1983-11-01,Aparecida Alegre,RO,Bronze,mda-conceicao@example.com
615.390.784-93,Srta. Stephany Oliveira,1994-02-11,Cardoso,PR,Prata,da-rosaagatha@example.com
271.354.809-88,Caio Caldeira,1970-04-20,Castro,MT,Bronze,rvargas@example.org
471.589.306-10,Benício Ramos,1964-01-23,Silva das Flores,RS,Prata,oda-conceicao@example.com
149.062.785-58,Maria Eduarda Cardoso,1998-10-10,Garcia Verde,SC,Bronze,das-nevesdavi@example.net
836.925.140-42,Miguel Albuquerque,1977-05-03,Dias de Casa Grande,TO,Prata,pedro-lucas77@example.org
942.560.718-49,Rhavi Pires,1997-02-05,Monteiro,MA,Prata,zaraujo@example.com
238.560.179-68,Emanuel Almeida,1977-12-29,Fernandes das Pedras,RO,Bronze,wferreira@example.com
614.258.309-51,Sr. Kevin Marques,1985-04-03,Oliveira,BA,Prata,esampaio@example.com
238.651.047-62,Clara Garcia,2005-05-19,Rocha da Serra,AL,Bronze,fogacamaria-julia@example.org
015.438.792-41,Isaque Gonçalves,1973-12-15,Sales da Serra,RS,Prata,svasconcelos@example.net
176.253.804-08,Bryan Campos,1973-12-30,Almeida,RJ,Bronze,sda-mota@example.net
126.357.840-35,Luan Azevedo,1989-04-11,Guerra,TO,Prata,goncalvesstella@example.net
718.690.524-20,Pietro Dias,1949-01-29,Cardoso,RJ,Bronze,lorenzoborges@example.net
401.892.536-06,Agatha da Cruz,1961-02-28,Moreira,SE,Bronze,sophie72@example.net
758.469.120-01,Ana Clara da Costa,1943-03-17,Casa Grande,MA,Ouro,joao-felipepereira@example.net
354.187.906-84,Mateus Rezende,2002-03-14,Guerra,PB,Prata,da-cunhalais@example.net
283.059.147-04,Sophia Pereira,1951-11-14,Cassiano Alegre,SE,Ouro,bgarcia@example.net
314.076.958-00,Aurora Fonseca,2002-07-31,Vasconcelos Paulista,BA,Ouro,yanalbuquerque@example.org
639.071.284-78,Vinícius Ferreira,1988-05-15,Novaes Paulista,RN,Bronze,aragaoluigi@example.com
625.974.310-61,Anthony Rodrigues,1975-08-27,Ribeiro,BA,Bronze,gabrielanunes@example.net
405.719.326-06,Pedro Lucas Fogaça,1995-01-16,Montenegro de da Paz,GO,Bronze,tmoreira@example.org
419.320.765-06,Enzo Oliveira,1944-08-11,Souza,MA,Prata,balbuquerque@example.net
827.345.016-35,Esther Souza,1941-03-15,Sampaio da Prata,SC,Ouro,samuel89@example.org
972.541.603-16,Théo Fogaça,2005-07-10,Lima,PR,Bronze,xcavalcante@example.org
531.268.970-02,Matteo Cunha,2003-07-09,Ramos do Galho,TO,Prata,martinsmariah@example.org
507.269.831-95,Srta. Maria Liz Fogaça,1941-04-23,Lopes,PR,Ouro,enzo-gabrielmoura@example.net
261.307.954-16,Maria Fernanda da Rosa,1965-07-05,Cirino da Prata,SE,Prata,henrique77@example.org
256.091.734-34,Davi Luiz Gonçalves,1969-05-11,Andrade da Serra,RO,Ouro,maria-luizarios@example.com
167.439.285-00,Daniel Caldeira,1994-08-25,Cardoso,BA,Ouro,melissa03@example.org
560.382.417-44,Isadora Pinto,1951-01-31,da Cruz,GO,Bronze,da-luzthales@example.net
637.504.192-99,Dante Cardoso,1968-01-05,da Mota,DF,Bronze,leticiaalmeida@example.net
310.964.257-34,Lucca Lima,1973-04-25,Moraes,PA,Bronze,da-rosahenry@example.com
549.731.206-34,Alexandre Aragão,1985-08-25,Cunha da Mata,PR,Bronze,guilherme62@example.com
758.209.463-83,Dr. Luiz Miguel Souza,1993-09-14,da Costa Paulista,DF,Prata,gborges@example.org
910.458.623-98,Breno Nogueira,1982-10-30,da Rosa do Amparo,SP,Prata,sophiesilveira@example.org
023.748.516-80,Bárbara Lopes,1945-04-24,Leão de Moura,PE,Bronze,cavalcanteyan@example.net
240.871.365-07,Pedro Lucas Sá,1975-05-13,Novais das Flores,MG,Prata,noah20@example.org
930.648.217-50,João Felipe Novaes,1948-10-23,Câmara,AL,Ouro,anaaparecida@example.net
249.701.865-02,Luiz Felipe Pires,1981-11-20,Duarte de Minas,RR,Bronze,joao-felipe69@example.com
508.621.974-49,Vitor Gabriel Ribeiro,2007-04-24,Silveira,SC,Prata,qrezende@example.net
983.671.240-22,Maria Laura Cassiano,1971-01-22,Siqueira,SC,Prata,jfreitas@example.com
172.395.486-19,Srta. Larissa Almeida,1961-10-24,Cavalcanti,TO,Bronze,mrodrigues@example.org
129.376.408-69,Srta. Beatriz Garcia,1966-11-02,Camargo,TO,Ouro,teixeiracaio@example.org
314.857.092-88,Maitê Santos,1946-06-27,Carvalho,PR,Ouro,tcastro@example.com
723.048.695-56,Yago da Rocha,1947-09-08,Casa Grande do Sul,ES,Bronze,da-conceicaoleticia@example.com
254.183.067-07,Henry Gabriel Caldeira,2005-10-17,Fogaça de Minas,RN,Bronze,isaac51@example.org
