cpf,score,nivel_risco,sinais_alerta
907.613.842-78,8,NORMAL,
578.924.631-19,12,NORMAL,
802.315.749-32,20,NORMAL,
824.596.371-28,10,NORMAL,
410.358.627-35,19,NORMAL,
034.679.512-52,27,NORMAL,
821.597.430-97,16,NORMAL,
942.837.160-22,5,NORMAL,
268.014.395-70,14,NORMAL,
612.478.509-94,1,NORMAL,
415.902.368-15,17,NORMAL,
248.503.169-05,32,MONITORING,inconsistencia_de_dados;sinais_de_automacao;multiplas_contas
087.395.216-21,31,MONITORING,velocidade_das_acoes;inconsistencia_de_dados
293.145.678-00,31,MONITORING,inconsistencia_de_dados;velocidade_das_acoes
768.102.359-30,12,NORMAL,
025.461.837-53,7,NORMAL,
461.853.970-48,10,NORMAL,
231.508.476-80,5,NORMAL,
017.624.938-96,2,NORMAL,
392.841.076-87,42,MONITORING,velocidade_das_acoes;multiplas_contas;inconsistencia_de_dados
527.164.389-19,33,MONITORING,multiplas_contas
173.045.268-07,24,NORMAL,
984.370.521-14,36,MONITORING,velocidade_das_acoes
503.784.916-01,10,NORMAL,
835.962.104-70,18,NORMAL,
268.410.375-53,39,MONITORING,sinais_de_automacao;velocidade_das_acoes
680.971.532-03,31,MONITORING,velocidade_das_acoes
671.509.234-61,39,MONITORING,velocidade_das_acoes;sinais_de_automacao
891.023.476-87,27,NORMAL,
378.069.512-02,14,NORMAL,
670.193.524-99,21,NORMAL,
930.254.817-14,16,NORMAL,
320.856.791-02,40,MONITORING,inconsistencia_de_dados;multiplas_contas
542.360.981-05,21,NORMAL,
724.685.309-00,14,NORMAL,
950.481.726-20,7,NORMAL,
871.409.632-31,7,NORMAL,
574.801.296-02,45,MONITORING,multiplas_contas;inconsistencia_de_dados
261.074.398-03,30,NORMAL,
375.801.924-97,30,NORMAL,
632.418.579-64,14,NORMAL,
270.183.946-78,11,NORMAL,
652.384.179-00,27,NORMAL,
679.231.480-31,34,MONITORING,sinais_de_automacao;inconsistencia_de_dados
941.723.506-07,9,NORMAL,
951.267.048-85,9,NORMAL,
132.046.958-24,31,MONITORING,sinais_de_automacao;velocidade_das_acoes
176.320.984-96,13,NORMAL,
506.894.273-10,27,NORMAL,
742.150.683-71,61,VERIFICATION,multiplas_contas;velocidade_das_acoes
635.841.207-80,27,NORMAL,
146.329.705-06,17,NORMAL,
630.294.187-31,11,NORMAL,
047.512.968-76,22,NORMAL,
980.573.621-03,4,NORMAL,
258.314.709-97,34,MONITORING,velocidade_das_acoes;sinais_de_automacao;multiplas_contas
390.257.861-03,11,NORMAL,
821.543.796-64,20,NORMAL,
461.739.285-82,32,MONITORING,velocidade_das_acoes;multiplas_contas
173.408.962-87,38,MONITORING,sinais_de_automacao
312.946.805-60,30,NORMAL,
387.492.156-55,33,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;multiplas_contas
281.763.045-90,29,NORMAL,
164.582.739-91,25,NORMAL,
735.961.428-73,43,MONITORING,sinais_de_automacao
187.205.364-53,9,NORMAL,
645.832.109-06,12,NORMAL,
947.160.582-20,22,NORMAL,
675.240.193-43,31,MONITORING,sinais_de_automacao;velocidade_das_acoes;multiplas_contas
426.935.870-00,18,NORMAL,
638.721.094-13,18,NORMAL,
476.052.938-10,36,MONITORING,multiplas_contas;velocidade_das_acoes
810.274.965-20,26,NORMAL,
430.256.198-05,10,NORMAL,
412.307.896-69,14,NORMAL,
192.508.736-03,28,NORMAL,
324.098.156-42,25,NORMAL,
741.328.596-73,57,MONITORING,inconsistencia_de_dados
435.796.208-00,13,NORMAL,
958.436.017-57,29,NORMAL,
279.603.481-03,22,NORMAL,
816.324.750-90,18,NORMAL,
014.682.359-15,17,NORMAL,
613.854.209-60,15,NORMAL,
162.793.854-00,17,NORMAL,
598.406.372-74,58,MONITORING,sinais_de_automacao;velocidade_das_acoes
269.783.401-03,14,NORMAL,
602.714.395-99,5,NORMAL,
175.632.408-53,50,MONITORING,velocidade_das_acoes;multiplas_contas;inconsistencia_de_dados
760.329.415-07,17,NORMAL,
456.032.987-74,11,NORMAL,
812.593.467-73,26,NORMAL,
169.258.370-03,19,NORMAL,
893.502.761-86,28,NORMAL,
630.981.245-98,21,NORMAL,
976.542.310-16,28,NORMAL,
264.307.591-99,9,NORMAL,
925.437.018-50,25,NORMAL,
942.613.850-15,29,NORMAL,
367.892.504-92,42,MONITORING,sinais_de_automacao
698.150.742-02,10,NORMAL,
063.817.249-78,4,NORMAL,
793.548.106-75,22,NORMAL,
687.930.514-84,52,MONITORING,sinais_de_automacao;multiplas_contas;inconsistencia_de_dados
876.905.134-84,23,NORMAL,
517.938.246-73,50,MONITORING,sinais_de_automacao;multiplas_contas
840.129.536-05,28,NORMAL,
469.510.823-24,51,MONITORING,velocidade_das_acoes;multiplas_contas;sinais_de_automacao
567.914.308-93,19,NORMAL,
913.275.064-16,18,NORMAL,
810.345.976-39,30,NORMAL,
124.095.783-14,42,MONITORING,sinais_de_automacao;multiplas_contas
719.804.623-13,38,MONITORING,velocidade_das_acoes;multiplas_contas;sinais_de_automacao
647.512.389-73,7,NORMAL,
057.318.942-05,20,NORMAL,
489.273.061-04,29,NORMAL,
295.436.781-46,70,VERIFICATION,sinais_de_automacao;multiplas_contas;inconsistencia_de_dados
698.037.514-84,31,MONITORING,inconsistencia_de_dados
695.481.723-64,25,NORMAL,
067.124.395-07,22,NORMAL,
562.814.730-35,20,NORMAL,
158.639.472-09,13,NORMAL,
168.370.429-04,24,NORMAL,
189.476.025-58,19,NORMAL,
957.483.012-88,27,NORMAL,
587.961.230-95,16,NORMAL,
519.628.403-60,15,NORMAL,
607.951.384-66,8,NORMAL,
812.690.375-95,33,MONITORING,velocidade_das_acoes;multiplas_contas;inconsistencia_de_dados
708.365.912-59,11,NORMAL,
502.619.837-68,17,NORMAL,
629.174.580-11,19,NORMAL,
059.371.684-10,45,MONITORING,velocidade_das_acoes
178.346.920-03,22,NORMAL,
932.146.507-34,12,NORMAL,
784.612.350-53,31,MONITORING,velocidade_das_acoes;inconsistencia_de_dados;sinais_de_automacao
032.879.615-86,37,MONITORING,sinais_de_automacao
485.216.973-09,24,NORMAL,
082.913.645-24,30,NORMAL,
230.159.647-80,17,NORMAL,
932.468.150-89,66,VERIFICATION,inconsistencia_de_dados;velocidade_das_acoes;sinais_de_automacao
489.157.036-93,11,NORMAL,
693.120.874-87,40,MONITORING,multiplas_contas;inconsistencia_de_dados
014.796.358-39,24,NORMAL,
176.493.208-04,7,NORMAL,
495.372.806-83,9,NORMAL,
968.047.523-92,22,NORMAL,
068.591.473-93,10,NORMAL,
470.236.185-62,30,NORMAL,
354.086.912-33,9,NORMAL,
528.709.163-02,7,NORMAL,
964.152.780-02,8,NORMAL,
824.031.769-31,45,MONITORING,velocidade_das_acoes
836.145.927-82,2,NORMAL,
382.049.765-00,20,NORMAL,
120.436.798-13,28,NORMAL,
263.579.410-34,12,NORMAL,
862.519.407-94,24,NORMAL,
725.108.496-11,17,NORMAL,
840.976.521-76,14,NORMAL,
951.764.302-07,8,NORMAL,
091.625.873-40,70,VERIFICATION,sinais_de_automacao
867.054.913-10,8,NORMAL,
189.562.340-51,48,MONITORING,sinais_de_automacao;inconsistencia_de_dados
170.382.649-31,36,MONITORING,inconsistencia_de_dados;multiplas_contas
982.570.431-41,43,MONITORING,inconsistencia_de_dados
031.875.296-40,1,NORMAL,
352.917.604-43,52,MONITORING,velocidade_das_acoes
068.321.749-69,27,NORMAL,
127.094.865-20,15,NORMAL,
317.864.052-53,31,MONITORING,multiplas_contas
572.340.196-34,26,NORMAL,
241.765.938-73,8,NORMAL,
018.345.926-15,5,NORMAL,
061.879.435-20,44,MONITORING,multiplas_contas
792.348.106-78,21,NORMAL,
076.541.398-10,35,MONITORING,inconsistencia_de_dados;velocidade_das_acoes;sinais_de_automacao
562.941.807-67,41,MONITORING,sinais_de_automacao
362.904.817-03,39,MONITORING,inconsistencia_de_dados;multiplas_contas
362.754.189-82,45,MONITORING,multiplas_contas;sinais_de_automacao;velocidade_das_acoes
980.576.432-00,41,MONITORING,inconsistencia_de_dados;sinais_de_automacao
978.251.640-67,21,NORMAL,
743.051.962-80,51,MONITORING,inconsistencia_de_dados;multiplas_contas
709.542.681-30,29,NORMAL,
541.283.067-62,16,NORMAL,
497.320.561-34,15,NORMAL,
637.890.251-86,28,NORMAL,
491.350.268-98,11,NORMAL,
190.572.638-40,36,MONITORING,multiplas_contas;velocidade_das_acoes;sinais_de_automacao
129.506.384-06,50,MONITORING,inconsistencia_de_dados;velocidade_das_acoes
927.854.013-79,28,NORMAL,
325.617.984-37,52,MONITORING,multiplas_contas
492.065.318-24,62,VERIFICATION,inconsistencia_de_dados
914.523.678-09,7,NORMAL,
678.235.410-17,13,NORMAL,
062.148.597-76,50,MONITORING,velocidade_das_acoes;inconsistencia_de_dados
438.796.510-00,23,NORMAL,
387.619.405-93,10,NORMAL,
458.671.239-28,29,NORMAL,
485.921.630-05,23,NORMAL,
517.342.089-88,17,NORMAL,
597.412.683-19,42,MONITORING,velocidade_das_acoes
384.195.062-06,8,NORMAL,
276.418.350-07,28,NORMAL,
057.216.349-52,56,MONITORING,inconsistencia_de_dados
908.561.372-86,32,MONITORING,sinais_de_automacao
